"County","Renewable.v.FossilFuel","energy.type.gen","MedianHouseholdIncome","TotalPopulation","Per.CollegeDeg","Per.PovertyMobility","Per.MinorityMobility","Per.NoSchooling","total.gen"
"Alamance County","Renewable Fuel",29.7,66737,161469,0.182381757489054,0.152289293920195,0.306808117966916,0.00974180802506983,29.7
"Alexander County","Renewable Fuel",11.2,63295,35939,0.17632655332647,0.119007206655722,0.102562675644843,0.00776315423356243,11.2
"Anson County","Renewable Fuel",151.8,52429,22708,0.187863308085256,0.185441254183548,0.488462215959133,0.00462392108508015,565.6
"Beaufort County","Renewable Fuel",142.5,61890,46682,0.199648686860032,0.173964268883081,0.265219999143139,0.0118461077074675,196.5
"Bertie County","Renewable Fuel",40,48806,17657,0.172792660134791,0.249815937022144,0.640878971512715,0.0107606048592626,40
"Bladen County","Renewable Fuel",197.4,47105,32744,0.180918641583191,0.237081602736379,0.410365257757146,0.00968116296115319,225.9
"Brunswick County","Renewable Fuel",144.9,71988,136387,0.170067528430129,0.109394590393513,0.191594506807834,0.00335075923658413,NA
"Buncombe County","Renewable Fuel",12.5,73274,252700,0.157538583300356,0.113058963197467,0.105552037989711,0.0097586070439256,1032.8
"Burke County","Renewable Fuel",39.6,56197,87388,0.200897148349888,0.184590561633176,0.142605392044674,0.0179544102165057,48.5
"Cabarrus County","Renewable Fuel",104.1,85479,209829,0.170691372498558,0.0938049554637348,0.307455118215309,0.00808753794756683,104.1
"Caldwell County","Renewable Fuel",26.6,56738,81061,0.179334081740911,0.138821381428801,0.130284600486054,0.00965939230949532,28.8
"Camden County","Renewable Fuel",15,69068,10620,0.196704331450094,0.0637476459510358,0.190960451977401,0.0202448210922787,15
"Caswell County","Renewable Fuel",22.9,60319,21454,0.192971007737485,0.157406544234175,0.349305490817563,0.0104875547683416,22.9
"Catawba County","Renewable Fuel",151.4,66210,155929,0.183865733763444,0.121311622597464,0.206998056807906,0.00942095440873731,2272.2
"Chatham County","Renewable Fuel",43.4,88206,72198,0.134532812543284,0.103673231945483,0.20191695060805,0.00947394664672152,43.4
"Cherokee County","Renewable Fuel",168.6,52797,27967,0.178388815389566,0.176422211892588,0.0690456609575571,0.00729431115242965,168.6
"Chowan County","Renewable Fuel",15,54538,13719,0.166411546031052,0.194985057219914,0.380712879947518,0.00174939864421605,17.4
"Clay County","Renewable Fuel",15,54777,11101,0.175479686514728,0.135393207819115,0.0315286911089091,0.00513467255202234,15
"Cleveland County","Renewable Fuel",81.3,55121,95994,0.173385836614788,0.187949246827927,0.260714211304873,0.0100943808988062,2897.7
"Columbus County","Renewable Fuel",116.5,50411,52697,0.191851528550012,0.214661176158036,0.354745051900488,0.0121638802967911,116.5
"Craven County","Renewable Fuel",122.5,66298,97032,0.195337620578778,0.140304229532525,0.27234314452964,0.00840959683403413,122.5
"Cumberland County","Renewable Fuel",201.8,57586,318069,0.218946203496726,0.182787382611949,0.49924073078483,0.00572831681176097,505.2
"Currituck County","Renewable Fuel",162.4,87778,27097,0.199542384765841,0.0801195704321512,0.128538214562498,0.00494519688526405,162.4
"Davidson County","Renewable Fuel",34.6,63302,164937,0.191394289941008,0.149159982296271,0.147917083492485,0.00856690736463013,44.8
"Davie County","Renewable Fuel",30.4,73817,42210,0.190713101160862,0.135560293769249,0.126083866382374,0.00715470267709074,30.4
"Duplin County","Renewable Fuel",176.6,55763,58501,0.171603904206766,0.176988427548247,0.326165364694621,0.015777508076785,176.6
"Durham County","Renewable Fuel",18.7,83872,302566,0.12857690553466,0.133051962216508,0.480139870309288,0.0108505251746726,18.7
"Edgecombe County","Renewable Fuel",201.9,47094,51429,0.158490345913784,0.217134301658597,0.605281067102219,0.00812771004686072,201.9
"Forsyth County","Renewable Fuel",22,68887,367499,0.162003161913366,0.155175932451517,0.350485307443013,0.00897689517522497,22
"Franklin County","Renewable Fuel",90.4,70061,66481,0.195303921421158,0.111249830778719,0.332681518027707,0.00786690934251891,91.4
"Gaston County","Renewable Fuel",106.3,66558,219214,0.183428065725729,0.133704964099008,0.245221564316148,0.00860802685959838,1280.6
"Gates County","Renewable Fuel",15,58200,11467,0.205546350396791,0.125490538065754,0.378215749542164,0.0123833609488096,15
"Graham County","Renewable Fuel",185,51116,8393,0.195400929345883,0.139282735613011,0.0884070058381985,0.00131061598951507,185
"Granville County","Renewable Fuel",32.7,67213,56136,0.192443351859769,0.14007054296708,0.352465441071683,0.0166203505771697,32.7
"Greene County","Renewable Fuel",13.9,55636,18470,0.227179209528966,0.209637249593936,0.38857606930157,0.015755278830536,13.9
"Guilford County","Renewable Fuel",27.3,70547,512106,0.165045908464263,0.149879126587074,0.445491753660375,0.00917974013192581,41.9
"Halifax County","Renewable Fuel",330.2,45252,49426,0.160199085501558,0.252478452636264,0.5894266175697,0.0132925990369441,510.2
"Harnett County","Renewable Fuel",44.1,67029,131032,0.207124977104829,0.153847915013127,0.335154771353562,0.00734171805360523,44.1
"Haywood County","Renewable Fuel",162,66508,61381,0.184649973118718,0.118424268095991,0.0684413743666607,0.00640263273651456,162
"Henderson County","Renewable Fuel",9,71966,114923,0.181225690244773,0.103521488300862,0.110343447351705,0.0086492695108899,9
"Hertford County","Renewable Fuel",176.5,53174,21492,0.198027172901545,0.202075190768658,0.636934673366834,0.0103294249022892,176.5
"Hoke County","Renewable Fuel",14.8,62789,53189,0.233036906127207,0.180093628381808,0.577111808832653,0.00586587452292767,14.8
"Iredell County","Renewable Fuel",35.4,73346,177623,0.183568569385721,0.0956013579322498,0.22123261064164,0.00579316867747983,39.4
"Jackson County","Renewable Fuel",50.8,63715,39703,0.161272447925849,0.177996624940181,0.159333047880513,0.00934438203662192,50.8
"Johnston County","Renewable Fuel",98.5,74922,201593,0.206921867326743,0.119205527969721,0.26025705257623,0.00994578184758399,98.5
"Jones County","Renewable Fuel",24.9,55256,9320,0.189699570815451,0.232618025751073,0.364270386266094,0.0127682403433476,24.9
"Lee County","Renewable Fuel",36.8,59013,60139,0.207070287168061,0.160760903905951,0.262940853688954,0.00946141438999651,36.8
"Lenoir County","Renewable Fuel",93.9,53964,55047,0.185859356549857,0.216851054553382,0.456300979163261,0.00984613148763784,103.1
"Lincoln County","Renewable Fuel",360,72078,83841,0.196467122291003,0.121181760713732,0.123066280220894,0.00540308440977565,2115.4
"Macon County","Renewable Fuel",45.6,60288,34817,0.158887899589281,0.160122928454491,0.0945227905908033,0.00356147858804607,45.6
"Madison County","Renewable Fuel",1.2,69681,20532,0.145431521527372,0.143045002922268,0.0150009740892266,0.0160237677771284,1.2
"Martin County","Renewable Fuel",216,50769,22506,0.192215409224207,0.195414556118368,0.480627388252022,0.0139074024704523,216
"Mecklenburg County","Renewable Fuel",10.6,85793,1079889,0.158663529307179,0.106944324833386,0.479524284440345,0.0102001224199895,NA
"Montgomery County","Renewable Fuel",291.3,55331,26155,0.162875167272032,0.167616134582298,0.221334352896196,0.00657618046262665,291.3
"Moore County","Renewable Fuel",39.2,82797,97891,0.164427781920708,0.102787794587858,0.205146540539988,0.00684434728422429,39.2
"Nash County","Renewable Fuel",190.4,61229,92247,0.167159907639273,0.153013106117272,0.481414029724544,0.0123581254674949,190.4
"New Hanover County","Renewable Fuel",2.8,79830,224013,0.167932218219478,0.145491556293608,0.19820724690085,0.00423189725596282,853.8
"Northampton County","Renewable Fuel",400.4,48815,18824,0.160486612834679,0.197779430514237,0.587441563960901,0.00897790055248619,400.4
"Onslow County","Renewable Fuel",24.7,57756,177724,0.205003263487205,0.119297337444577,0.207991042290293,0.00432693389750399,24.7
"Orange County","Renewable Fuel",13,104734,134261,0.105265117941919,0.123185437319847,0.218812611257178,0.00651715688100044,45
"Pamlico County","Renewable Fuel",5,64508,11940,0.217587939698492,0.154103852596315,0.167420435510888,0.00678391959798995,5
"Pasquotank County","Renewable Fuel",43.1,72184,37276,0.195031655757055,0.118145723790106,0.411256572593626,0.00775297778731624,43.1
"Pender County","Renewable Fuel",132.3,74992,60696,0.175398708316858,0.136302227494398,0.236588902069329,0.00785883748517201,132.3
"Perquimans County","Renewable Fuel",259.2,61471,13425,0.193296089385475,0.121042830540037,0.24633147113594,0.0135567970204842,259.2
"Person County","Renewable Fuel",90,70814,39063,0.21240048127384,0.156823592658014,0.326626219184394,0.0123134423879374,3411.4
"Pitt County","Renewable Fuel",85.7,63272,172848,0.171352864944923,0.203195871517171,0.457714292326206,0.00893848930852541,94.9
"Polk County","Renewable Fuel",5.4,65766,20376,0.169071456615626,0.100117785630153,0.124165685119749,0.00701806046329015,5.4
"Randolph County","Renewable Fuel",35.3,57375,142003,0.17988352358753,0.142391357929058,0.162693745906777,0.00929557826243108,35.3
"Richmond County","Renewable Fuel",74.6,51754,43332,0.193390565863565,0.218429797839934,0.36804209360288,0.0135927259300286,2663.2
"Robeson County","Renewable Fuel",245.7,44909,128111,0.165301964702485,0.264809423078424,0.721272958606209,0.00910148230831076,408.7
"Rockingham County","Renewable Fuel",26.1,55678,89549,0.196518107404884,0.176104702453405,0.262079978559225,0.00969301723078985,1701.5
"Rowan County","Renewable Fuel",46.3,62091,136582,0.191328286304198,0.157385306995065,0.227475069921366,0.00681641797601441,1938.4
"Rutherford County","Renewable Fuel",122.2,53158,65531,0.18276846072851,0.172345912621507,0.169858540232867,0.0103309883871755,123.2
"Sampson County","Renewable Fuel",51.8,52517,62160,0.171750321750322,0.212355212355212,0.400611325611326,0.0133848133848134,54.2
"Scotland County","Renewable Fuel",126.8,46269,32743,0.178694682832972,0.265583483492655,0.544513331093669,0.00745197446782518,126.8
"Stanly County","Renewable Fuel",36.4,68491,59943,0.21003286455466,0.121081694276229,0.151961029644829,0.00802428974192149,41.8
"Stokes County","Renewable Fuel",8.9,59377,45165,0.180405181002989,0.133333333333333,0.0790877892173143,0.00648732425550758,NA
"Surry County","Renewable Fuel",9.3,62889,70943,0.185176832104647,0.162440268948311,0.106141550258658,0.0134897030010008,9.3
"Swain County","Renewable Fuel",254.7,63789,13941,0.177390431102503,0.164335413528441,0.306003873466753,0.00731654831073811,254.7
"Union County","Renewable Fuel",74.9,94299,233426,0.159386700710289,0.0731066804897484,0.211925835168319,0.00949337263201186,106.7
"Vance County","Renewable Fuel",107.8,51913,43919,0.161684009198752,0.194608256107835,0.581775541337462,0.0108381338372914,107.8
"Wake County","Renewable Fuel",30.6,104072,1069663,0.137747122224476,0.0836039014156795,0.367970098993795,0.00569525168207183,999.3
"Warren County","Renewable Fuel",50.9,50454,18817,0.167561247807833,0.207684540575012,0.580592017856194,0.0122229898496041,50.9
"Washington County","Renewable Fuel",99,47385,11644,0.180951563036757,0.267691514943318,0.550927516317417,0.0119374785297149,99
"Wayne County","Renewable Fuel",108.1,59689,120802,0.189980298339431,0.18162778761941,0.368553500769855,0.00822834059038758,2155.8
"Wilson County","Renewable Fuel",128.4,60313,80037,0.156340192660894,0.196496620313105,0.498369504104352,0.010720041980584,131.2
"Yadkin County","Renewable Fuel",13.5,63053,37254,0.21326568959038,0.138159660707575,0.0929833038063027,0.00829441133837977,13.5
