"GEOID","NAME","County","CountyShort","State","MedianFamilyIncome","Year","TotalPopulation","NoSchooling","Mobility","Mobility2","RaceAllocation","DetailedRace"
"37001","Alamance County, North Carolina","Alamance County","Alamance","North Carolina",66737,2020,161469,1573,24590,32648,111929,29449
"37003","Alexander County, North Carolina","Alexander County","Alexander","North Carolina",63295,2020,35939,279,4277,1898,32253,6337
"37005","Alleghany County, North Carolina","Alleghany County","Alleghany","North Carolina",46953,2020,10939,110,2439,183,10557,1780
"37007","Anson County, North Carolina","Anson County","Anson","North Carolina",52429,2020,22708,105,4211,11881,11616,4266
"37009","Ashe County, North Carolina","Ashe County","Ashe","North Carolina",53971,2020,26563,207,3874,199,26149,5411
"37011","Avery County, North Carolina","Avery County","Avery","North Carolina",56060,2020,13987,94,1835,762,15471,3361
"37013","Beaufort County, North Carolina","Beaufort County","Beaufort","North Carolina",61890,2020,46682,553,8121,11478,34301,9320
"37015","Bertie County, North Carolina","Bertie County","Bertie","North Carolina",48806,2020,17657,190,4411,11656,6341,3051
"37017","Bladen County, North Carolina","Bladen County","Bladen","North Carolina",47105,2020,32744,317,7763,11281,19307,5924
"37019","Brunswick County, North Carolina","Brunswick County","Brunswick","North Carolina",71988,2020,136387,457,14920,12815,110256,23195
"37021","Buncombe County, North Carolina","Buncombe County","Buncombe","North Carolina",73274,2020,252700,2466,28570,15836,226027,39810
"37023","Burke County, North Carolina","Burke County","Burke","North Carolina",56197,2020,87388,1569,16131,5499,74926,17556
"37025","Cabarrus County, North Carolina","Cabarrus County","Cabarrus","North Carolina",85479,2020,209829,1697,19683,39137,145316,35816
"37027","Caldwell County, North Carolina","Caldwell County","Caldwell","North Carolina",56738,2020,81061,783,11253,3509,70500,14537
"37029","Camden County, North Carolina","Camden County","Camden","North Carolina",69068,2020,10620,215,677,1181,8592,2089
"37031","Carteret County, North Carolina","Carteret County","Carteret","North Carolina",74417,2020,68148,406,6143,3384,59899,14186
"37033","Caswell County, North Carolina","Caswell County","Caswell","North Carolina",60319,2020,21454,225,3377,7315,13960,4140
"37035","Catawba County, North Carolina","Catawba County","Catawba","North Carolina",66210,2020,155929,1469,18916,13047,123652,28670
"37037","Chatham County, North Carolina","Chatham County","Chatham","North Carolina",88206,2020,72198,684,7485,8522,57620,9713
"37039","Cherokee County, North Carolina","Cherokee County","Cherokee","North Carolina",52797,2020,27967,204,4934,365,26036,4989
"37041","Chowan County, North Carolina","Chowan County","Chowan","North Carolina",54538,2020,13719,24,2675,4747,8496,2283
"37043","Clay County, North Carolina","Clay County","Clay","North Carolina",54777,2020,11101,57,1503,215,10751,1948
"37045","Cleveland County, North Carolina","Cleveland County","Cleveland","North Carolina",55121,2020,95994,969,18042,19895,70967,16644
"37047","Columbus County, North Carolina","Columbus County","Columbus","North Carolina",50411,2020,52697,641,11312,16370,34003,10110
"37049","Craven County, North Carolina","Craven County","Craven","North Carolina",66298,2020,97032,816,13614,21633,70606,18954
"37051","Cumberland County, North Carolina","Cumberland County","Cumberland","North Carolina",57586,2020,318069,1822,58139,122920,159276,69640
"37053","Currituck County, North Carolina","Currituck County","Currituck","North Carolina",87778,2020,27097,134,2171,1496,23614,5407
"37055","Dare County, North Carolina","Dare County","Dare","North Carolina",78462,2020,36522,77,2956,1223,33330,7233
"37057","Davidson County, North Carolina","Davidson County","Davidson","North Carolina",63302,2020,164937,1413,24602,15561,140540,31568
"37059","Davie County, North Carolina","Davie County","Davie","North Carolina",73817,2020,42210,302,5722,2024,36888,8050
"37061","Duplin County, North Carolina","Duplin County","Duplin","North Carolina",55763,2020,58501,923,10354,13496,39420,10039
"37063","Durham County, North Carolina","Durham County","Durham","North Carolina",83872,2020,302566,3283,40257,111641,157292,38903
"37065","Edgecombe County, North Carolina","Edgecombe County","Edgecombe","North Carolina",47094,2020,51429,418,11167,29623,20300,8151
"37067","Forsyth County, North Carolina","Forsyth County","Forsyth","North Carolina",68887,2020,367499,3299,57027,98006,238696,59536
"37069","Franklin County, North Carolina","Franklin County","Franklin","North Carolina",70061,2020,66481,523,7396,16242,44364,12984
"37071","Gaston County, North Carolina","Gaston County","Gaston","North Carolina",66558,2020,219214,1887,29310,36341,165458,40210
"37073","Gates County, North Carolina","Gates County","Gates","North Carolina",58200,2020,11467,142,1439,3602,7130,2357
"37075","Graham County, North Carolina","Graham County","Graham","North Carolina",51116,2020,8393,11,1169,16,7651,1640
"37077","Granville County, North Carolina","Granville County","Granville","North Carolina",67213,2020,56136,933,7863,17526,36350,10803
"37079","Greene County, North Carolina","Greene County","Greene","North Carolina",55636,2020,18470,291,3872,7022,11293,4196
"37081","Guilford County, North Carolina","Guilford County","Guilford","North Carolina",70547,2020,512106,4701,76754,180354,283967,84521
"37083","Halifax County, North Carolina","Halifax County","Halifax","North Carolina",45252,2020,49426,657,12479,26308,20293,7918
"37085","Harnett County, North Carolina","Harnett County","Harnett","North Carolina",67029,2020,131032,962,20159,27915,87116,27140
"37087","Haywood County, North Carolina","Haywood County","Haywood","North Carolina",66508,2020,61381,393,7269,541,57180,11334
"37089","Henderson County, North Carolina","Henderson County","Henderson","North Carolina",71966,2020,114923,994,11897,4141,102242,20827
"37091","Hertford County, North Carolina","Hertford County","Hertford","North Carolina",53174,2020,21492,222,4343,14201,7803,4256
"37093","Hoke County, North Carolina","Hoke County","Hoke","North Carolina",62789,2020,53189,312,9579,18001,22493,12395
"37095","Hyde County, North Carolina","Hyde County","Hyde","North Carolina",51471,2020,4538,16,957,1501,3198,938
"37097","Iredell County, North Carolina","Iredell County","Iredell","North Carolina",73346,2020,177623,1029,16981,21097,138327,32606
"37099","Jackson County, North Carolina","Jackson County","Jackson","North Carolina",63715,2020,39703,371,7067,899,33377,6403
"37101","Johnston County, North Carolina","Johnston County","Johnston","North Carolina",74922,2020,201593,2005,24031,32516,149127,41714
