GEOID,NAME,estimate,Year,County,State
"37041","Chowan County, North Carolina",45932,2010,Chowan County,NC
"37043","Clay County, North Carolina",39406,2010,Chowan County,NC
"37045","Cleveland County, North Carolina",47460,2010,Chowan County,NC
"37059","Davie County, North Carolina",61659,2010,Chowan County,NC
"37063","Durham County, North Carolina",62890,2010,Chowan County,NC
"37067","Forsyth County, North Carolina",59867,2010,Chowan County,NC
"37069","Franklin County, North Carolina",51591,2010,Chowan County,NC
"37071","Gaston County, North Carolina",53366,2010,Chowan County,NC
"37001","Alamance County, North Carolina",52806,2010,Chowan County,NC
"37009","Ashe County, North Carolina",46537,2010,Chowan County,NC
"37013","Beaufort County, North Carolina",49668,2010,Chowan County,NC
"37015","Bertie County, North Carolina",39443,2010,Chowan County,NC
"37017","Bladen County, North Carolina",41937,2010,Chowan County,NC
"37019","Brunswick County, North Carolina",54644,2010,Chowan County,NC
"37021","Buncombe County, North Carolina",54981,2010,Chowan County,NC
"37031","Carteret County, North Carolina",56842,2010,Chowan County,NC
"37039","Cherokee County, North Carolina",44949,2010,Chowan County,NC
"37047","Columbus County, North Carolina",45193,2010,Chowan County,NC
"37049","Craven County, North Carolina",53604,2010,Chowan County,NC
"37051","Cumberland County, North Carolina",50910,2010,Chowan County,NC
"37053","Currituck County, North Carolina",66213,2010,Chowan County,NC
"37055","Dare County, North Carolina",65778,2010,Chowan County,NC
"37057","Davidson County, North Carolina",54652,2010,Chowan County,NC
"37061","Duplin County, North Carolina",40774,2010,Chowan County,NC
"37065","Edgecombe County, North Carolina",41857,2010,Chowan County,NC
"37075","Graham County, North Carolina",34831,2010,Chowan County,NC
"37083","Halifax County, North Carolina",40569,2010,Chowan County,NC
"37085","Harnett County, North Carolina",52708,2010,Chowan County,NC
"37087","Haywood County, North Carolina",51596,2010,Chowan County,NC
"37089","Henderson County, North Carolina",58381,2010,Chowan County,NC
"37093","Hoke County, North Carolina",47281,2010,Chowan County,NC
"37095","Hyde County, North Carolina",44406,2010,Chowan County,NC
"37099","Jackson County, North Carolina",49500,2010,Chowan County,NC
"37101","Johnston County, North Carolina",58187,2010,Chowan County,NC
"37103","Jones County, North Carolina",45876,2010,Chowan County,NC
"37111","McDowell County, North Carolina",47243,2010,Chowan County,NC
"37113","Macon County, North Carolina",46702,2010,Chowan County,NC
"37115","Madison County, North Carolina",49838,2010,Chowan County,NC
"37117","Martin County, North Carolina",43293,2010,Chowan County,NC
"37119","Mecklenburg County, North Carolina",67375,2010,Chowan County,NC
"37121","Mitchell County, North Carolina",41727,2010,Chowan County,NC
"37125","Moore County, North Carolina",61068,2010,Chowan County,NC
"37127","Nash County, North Carolina",55186,2010,Chowan County,NC
"37129","New Hanover County, North Carolina",65188,2010,Chowan County,NC
"37131","Northampton County, North Carolina",40230,2010,Chowan County,NC
"37133","Onslow County, North Carolina",48380,2010,Chowan County,NC
"37141","Pender County, North Carolina",54087,2010,Chowan County,NC
"37145","Person County, North Carolina",54747,2010,Chowan County,NC
"37147","Pitt County, North Carolina",53432,2010,Chowan County,NC
"37153","Richmond County, North Carolina",38881,2010,Chowan County,NC
"37155","Robeson County, North Carolina",34788,2010,Chowan County,NC
"37161","Rutherford County, North Carolina",43702,2010,Chowan County,NC
"37167","Stanly County, North Carolina",58125,2010,Chowan County,NC
"37173","Swain County, North Carolina",48101,2010,Chowan County,NC
"37175","Transylvania County, North Carolina",52674,2010,Chowan County,NC
"37181","Vance County, North Carolina",41025,2010,Chowan County,NC
"37193","Wilkes County, North Carolina",43439,2010,Chowan County,NC
"37199","Yancey County, North Carolina",42252,2010,Chowan County,NC
"37003","Alexander County, North Carolina",51431,2010,Chowan County,NC
"37005","Alleghany County, North Carolina",38535,2010,Chowan County,NC
"37007","Anson County, North Carolina",39612,2010,Chowan County,NC
"37011","Avery County, North Carolina",47644,2010,Chowan County,NC
"37023","Burke County, North Carolina",46799,2010,Chowan County,NC
"37025","Cabarrus County, North Carolina",65594,2010,Chowan County,NC
"37027","Caldwell County, North Carolina",48462,2010,Chowan County,NC
"37033","Caswell County, North Carolina",44401,2010,Chowan County,NC
"37035","Catawba County, North Carolina",53285,2010,Chowan County,NC
"37037","Chatham County, North Carolina",66120,2010,Chowan County,NC
"37143","Perquimans County, North Carolina",48870,2010,Chowan County,NC
"37149","Polk County, North Carolina",55846,2010,Chowan County,NC
"37151","Randolph County, North Carolina",49257,2010,Chowan County,NC
"37157","Rockingham County, North Carolina",48641,2010,Chowan County,NC
"37159","Rowan County, North Carolina",52850,2010,Chowan County,NC
"37073","Gates County, North Carolina",55559,2010,Chowan County,NC
"37077","Granville County, North Carolina",57203,2010,Chowan County,NC
"37079","Greene County, North Carolina",48409,2010,Chowan County,NC
"37081","Guilford County, North Carolina",59367,2010,Chowan County,NC
"37091","Hertford County, North Carolina",39973,2010,Chowan County,NC
"37097","Iredell County, North Carolina",59639,2010,Chowan County,NC
"37105","Lee County, North Carolina",53375,2010,Chowan County,NC
"37107","Lenoir County, North Carolina",42317,2010,Chowan County,NC
"37109","Lincoln County, North Carolina",54765,2010,Chowan County,NC
"37123","Montgomery County, North Carolina",43740,2010,Chowan County,NC
"37135","Orange County, North Carolina",79811,2010,Chowan County,NC
"37137","Pamlico County, North Carolina",51630,2010,Chowan County,NC
"37139","Pasquotank County, North Carolina",54785,2010,Chowan County,NC
"37165","Scotland County, North Carolina",37232,2010,Chowan County,NC
"37169","Stokes County, North Carolina",49134,2010,Chowan County,NC
"37171","Surry County, North Carolina",47248,2010,Chowan County,NC
"37177","Tyrrell County, North Carolina",37708,2010,Chowan County,NC
"37179","Union County, North Carolina",71538,2010,Chowan County,NC
"37183","Wake County, North Carolina",81461,2010,Chowan County,NC
"37185","Warren County, North Carolina",40323,2010,Chowan County,NC
"37187","Washington County, North Carolina",41007,2010,Chowan County,NC
"37189","Watauga County, North Carolina",56112,2010,Chowan County,NC
"37191","Wayne County, North Carolina",49504,2010,Chowan County,NC
"37195","Wilson County, North Carolina",47716,2010,Chowan County,NC
"37197","Yadkin County, North Carolina",50990,2010,Chowan County,NC
"37163","Sampson County, North Carolina",44296,2010,Chowan County,NC
"37029","Camden County, North Carolina",74320,2010,Chowan County,NC
"37197","Yadkin County, North Carolina",52199,2011,Yadkin County,NC
"37107","Lenoir County, North Carolina",43319,2011,Yadkin County,NC
"37117","Martin County, North Carolina",45471,2011,Yadkin County,NC
"37099","Jackson County, North Carolina",49761,2011,Yadkin County,NC
"37077","Granville County, North Carolina",57380,2011,Yadkin County,NC
"37045","Cleveland County, North Carolina",47378,2011,Yadkin County,NC
"37037","Chatham County, North Carolina",69431,2011,Yadkin County,NC
"37071","Gaston County, North Carolina",53484,2011,Yadkin County,NC
"37141","Pender County, North Carolina",54536,2011,Yadkin County,NC
"37087","Haywood County, North Carolina",52444,2011,Yadkin County,NC
"37083","Halifax County, North Carolina",41190,2011,Yadkin County,NC
"37081","Guilford County, North Carolina",59962,2011,Yadkin County,NC
"37059","Davie County, North Carolina",62730,2011,Yadkin County,NC
"37153","Richmond County, North Carolina",40625,2011,Yadkin County,NC
"37003","Alexander County, North Carolina",49627,2011,Yadkin County,NC
"37089","Henderson County, North Carolina",60447,2011,Yadkin County,NC
"37095","Hyde County, North Carolina",42121,2011,Yadkin County,NC
"37183","Wake County, North Carolina",83107,2011,Yadkin County,NC
"37053","Currituck County, North Carolina",64886,2011,Yadkin County,NC
"37049","Craven County, North Carolina",56233,2011,Yadkin County,NC
"37017","Bladen County, North Carolina",42099,2011,Yadkin County,NC
"37079","Greene County, North Carolina",50858,2011,Yadkin County,NC
"37113","Macon County, North Carolina",48852,2011,Yadkin County,NC
"37023","Burke County, North Carolina",47754,2011,Yadkin County,NC
"37145","Person County, North Carolina",52490,2011,Yadkin County,NC
"37177","Tyrrell County, North Carolina",45186,2011,Yadkin County,NC
"37125","Moore County, North Carolina",63139,2011,Yadkin County,NC
"37167","Stanly County, North Carolina",57086,2011,Yadkin County,NC
"37195","Wilson County, North Carolina",47443,2011,Yadkin County,NC
"37135","Orange County, North Carolina",82309,2011,Yadkin County,NC
"37063","Durham County, North Carolina",63538,2011,Yadkin County,NC
"37191","Wayne County, North Carolina",50273,2011,Yadkin County,NC
"37085","Harnett County, North Carolina",52912,2011,Yadkin County,NC
"37127","Nash County, North Carolina",55449,2011,Yadkin County,NC
"37159","Rowan County, North Carolina",53188,2011,Yadkin County,NC
"37115","Madison County, North Carolina",50359,2011,Yadkin County,NC
"37175","Transylvania County, North Carolina",53422,2011,Yadkin County,NC
"37151","Randolph County, North Carolina",49294,2011,Yadkin County,NC
"37111","McDowell County, North Carolina",46239,2011,Yadkin County,NC
"37019","Brunswick County, North Carolina",53587,2011,Yadkin County,NC
"37119","Mecklenburg County, North Carolina",68218,2011,Yadkin County,NC
"37031","Carteret County, North Carolina",59229,2011,Yadkin County,NC
"37051","Cumberland County, North Carolina",51760,2011,Yadkin County,NC
"37007","Anson County, North Carolina",40026,2011,Yadkin County,NC
"37043","Clay County, North Carolina",43067,2011,Yadkin County,NC
"37093","Hoke County, North Carolina",52240,2011,Yadkin County,NC
"37123","Montgomery County, North Carolina",42716,2011,Yadkin County,NC
"37039","Cherokee County, North Carolina",44916,2011,Yadkin County,NC
"37199","Yancey County, North Carolina",46670,2011,Yadkin County,NC
